كد درس,نام درس,كد ارائه كلاس درس,استاد,زمانبندي تشكيل كلاس,مقطع ارائه درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي
4628162051,يكپارچه سازي كاربردهاي سازماني,163330303,,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628165140,رياضي عمومي 1,163114122222463,سارا فناطي رشيدي,شنبه  از 09:30 تا 11:30 دوشنبه  از 09:30 تا 11:30 ,كارشناسي پيوسته,نظري,3,0
4628148579,مديريت پروژه هاي فناوري اطلاعات,163330302,,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628148579,مديريت پروژه هاي فناوري اطلاعات,163330301,,يكشنبه  از 12:00 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628143773,مباحث ويژه 1,163330300,,,كارشناسي پيوسته,نظري,3,0
4628143773,مباحث ويژه 1,163330299,,,كارشناسي پيوسته,نظري,3,0
4628144915,مباني داده كاوي,163330298,,چهارشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628144915,مباني داده كاوي,163330297,,چهارشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628151527,مهندسي‌ اينترنت‌,163330296,عبدالكريم جوانمردي,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628151527,مهندسي‌ اينترنت‌,163330295,عبدالكريم جوانمردي,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628151527,مهندسي‌ اينترنت‌,163330294,عبدالكريم جوانمردي,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628164617,طراحي كامپيوتر سيستمهاي ديجيتال,163330293,,,كارشناسي پيوسته,نظري,3,0
4628164617,طراحي كامپيوتر سيستمهاي ديجيتال,163330292,,,كارشناسي پيوسته,نظري,3,0
1396147373,مجموعه ها و سيستم هاي فازي,163330602,فرزاد قهرماني,چهارشنبه  از 07:30 تا 09:45 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4628164617,طراحي كامپيوتر سيستمهاي ديجيتال,163330291,,,كارشناسي پيوسته,نظري,3,0
4628164617,طراحي كامپيوتر سيستمهاي ديجيتال,163330290,,,كارشناسي پيوسته,نظري,3,0
4628135313,سيگنالها وسيستم ها,163330289,حسن عدلو,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628135313,سيگنالها وسيستم ها,163330288,حسن عدلو,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628137355,طراحي زبان هاي برنامه سازي,163330287,,,كارشناسي پيوسته,نظري,3,0
4628135451,شبكه‌هاي كامپيوتري,163330286,,,كارشناسي پيوسته,نظري,3,0
4628135451,شبكه‌هاي كامپيوتري,163330285,,,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330284,سميرا خنشاء,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628130341,ريزپردازنده و زبان اسمبلي,163330283,سميرا خنشاء,شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628142462,گرافيك‌ كامپيوتري‌,163330282,احمد عابدي,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628142462,گرافيك‌ كامپيوتري‌,163330281,احمد عابدي,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628142462,گرافيك‌ كامپيوتري‌,163330280,احمد عابدي,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628105622,اصول طراحي كامپايلر,163330279,,سه شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628105622,اصول طراحي كامپايلر,163330278,,سه شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
1396119084,تصوير پردازي رقمي,163330611,مهدي محرابي,پنج شنبه  از 09:45 تا 12:00 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330277,,,كارشناسي پيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330276,,,كارشناسي پيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330275,زهراء آگاه,سه شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330274,زهراء آگاه,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330273,زهراء آگاه,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330272,زهراء آگاه,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
1392125015,داده كاوي,163330601,الهام پروين نيا,چهارشنبه  از 07:30 تا 09:45 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4628114001,پايگاه‌داده‌ها,163330271,زهراء آگاه,يكشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
